平台|游戏数量|总销售额(M)|平均评分
PS2|2097|1027.76|7.4
X360|1264|859.79|7.1
PS3|1310|839.70|7.3
PS|1126|546.25|7.0
PS4|891|539.92|7.6
Wii|1281|459.44|6.6
DS|2152|458.17|6.9
XOne|517|268.96|7.9
PSP|1257|245.29|6.8
XB|822|232.05|7.5
GBA|820|224.48|6.6
PC|939|168.99|7.7
GC|527|119.53|6.9
3DS|543|99.27|6.8
N64|279|93.79|6.8
2600|126|75.66|0.0
SNES|196|65.71|8.2
PSV|638|63.02|6.9
NES|47|47.93|5.9
NS|247|36.46|7.4
WiiU|139|35.42|7.0
SAT|175|33.67|8.3
GB|46|19.84|7.3
GEN|27|18.83|9.0
DC|49|13.31|8.1
GBC|3|4.34|9.4
PSN|9|3.81|7.4
NG|12|1.44|0.0
WS|7|1.43|0.0
SCD|5|0.37|0.0
VC|3|0.35|0.0
WW|1|0.25|0.0
XBL|5|0.20|7.7
3DO|4|0.19|0.0
PCE|2|0.16|0.0
GG|1|0.04|0.0
OSX|1|0.03|0.0
Mob|1|0.03|0.0
PCFX|1|0.03|0.0
