游戏类型|游戏数量|总销售额(M)|平均销售额(M)|平均评分
Sports|2484|1187.51|0.48|7.4
Action|2686|1125.89|0.42|6.7
Shooter|1377|995.50|0.72|7.2
Misc|1834|557.79|0.30|6.8
Racing|1349|525.75|0.39|7.2
Role-Playing|1414|426.80|0.30|7.4
Platform|903|349.15|0.39|6.9
Fighting|856|341.13|0.40|7.3
Adventure|1683|325.39|0.19|7.0
Simulation|1004|300.65|0.30|6.8
Action-Adventure|257|148.52|0.58|7.5
Puzzle|630|127.28|0.20|7.1
Strategy|692|118.31|0.17|7.3
Music|138|51.75|0.38|7.8
MMO|30|9.31|0.31|7.3
Party|28|6.21|0.22|5.6
Visual Novel|197|5.78|0.03|9.0
Sandbox|1|1.89|1.89|9.2
Education|4|0.97|0.24|7.8
Board Game|3|0.33|0.11|5.3
