年份|游戏数量|总销售额(M)|平均销售额(M)
1977|3|2.50|0.83
1978|7|2.36|0.34
1979|1|0.31|0.31
1980|5|2.26|0.45
1981|6|7.73|1.29
1982|44|28.99|0.66
1983|37|22.68|0.61
1984|10|4.85|0.48
1985|4|2.19|0.55
1986|11|10.35|0.94
1987|7|5.59|0.80
1988|11|8.73|0.79
1989|7|9.12|1.30
1990|7|9.07|1.30
1991|20|6.05|0.30
1992|23|9.38|0.41
1993|43|20.16|0.47
1994|94|36.85|0.39
1995|173|52.98|0.31
1996|267|101.36|0.38
1997|233|105.89|0.45
1998|299|132.23|0.44
1999|322|169.61|0.53
2000|376|171.12|0.46
2001|460|226.75|0.49
2002|786|314.50|0.40
2003|766|300.89|0.39
2004|726|284.68|0.39
2005|911|313.48|0.34
2006|937|244.42|0.26
2007|1159|436.39|0.38
2008|1453|538.11|0.37
2009|1533|495.36|0.32
2010|1307|454.02|0.35
2011|1188|440.32|0.37
2012|651|285.47|0.44
2013|494|266.00|0.54
2014|584|292.11|0.50
2015|598|230.45|0.39
2016|600|208.02|0.35
2017|663|191.96|0.29
2018|626|148.03|0.24
2019|34|2.55|0.07
2020|22|3.45|0.16
